,sentence,label,idx
0,"Our friends won't buy this analysis, let alone the next one we propose.",0,0
1,One more pseudo generalization and I'm giving up.,0,1
2,One more pseudo generalization or I'm giving up.,0,2
3,"The more we study verbs, the crazier they get.",0,3
4,Day by day the facts are getting murkier.,0,4
5,I'll fix you a drink.,0,5
6,Fred watered the plants flat.,0,6
7,Bill coughed his way out of the restaurant.,0,7
8,We're dancing the night away.,1,8
9,Herman hammered the metal flat.,0,9
10,The critics laughed the play off the stage.,0,10
11,The pond froze solid.,0,11
12,Bill rolled out of the room.,1,12
13,The gardener watered the flowers flat.,0,13
14,The gardener watered the flowers.,1,14
15,Bill broke the bathtub into pieces.,0,15
16,Bill broke the bathtub.,1,16
17,They drank the pub dry.,0,17
18,They drank the pub.,0,18
19,The professor talked us into a stupor.,0,19
20,The professor talked us.,0,20
21,We yelled ourselves hoarse.,0,21
22,We yelled ourselves.,0,22
23,We yelled Harry hoarse.,1,23
24,Harry coughed himself into a fit.,1,24
25,Harry coughed himself.,0,25
26,Harry coughed us into a fit.,1,26
27,Bill followed the road into the forest.,1,27
28,We drove Highway 5 from SD to SF.,1,28
29,Fred tracked the leak to its source.,1,29
30,John danced waltzes across the room.,0,30
31,Bill urinated out the window.,0,31
32,Bill coughed out the window.,1,32
33,Bill bled on the floor.,0,33
34,The toilet leaked through the floor into the kitchen below.,1,34
35,Bill ate off the floor.,0,35
36,Bill drank from the hose.,1,36
37,This metal hammers flat easily.,1,37
38,They made him president.,0,38
39,They made him angry.,1,39
40,They caused him to become angry by making him.,0,40
41,They caused him to become president by making him.,1,41
42,They made him to exhaustion.,1,42
43,They made him into a monster.,0,43
44,The trolley rumbled through the tunnel.,0,44
45,The wagon rumbled down the road.,0,45
46,The bullets whistled past the house.,0,46
47,The knee replacement candidate groaned up the stairs.,0,47
48,The car honked down the road.,1,48
49,The dog barked out of the room.,1,49
50,The dog barked its way out of the room.,0,50
51,Bill whistled his way past the house.,1,51
52,The witch vanished into the forest.,0,52
53,Bill disappeared down the road.,0,53
54,The witch went into the forest by vanishing.,0,54
55,The witch went into the forest and thereby vanished.,1,55
56,The building is tall and wide.,1,56
57,The building is tall and tall.,0,57
58,This building is taller and wider than that one.,1,58
59,This building got taller and wider than that one.,1,59
60,This building got taller and taller.,0,60
61,This building is taller and taller.,0,61
62,This building got than that one.,0,62
63,This building is than that one.,0,63
64,Bill floated into the cave.,0,64
65,Bill floated into the cave for hours.,0,65
66,Bill pushed Harry off the sofa for hours.,1,66
67,Bill floated down the river for hours.,1,67
68,Bill floated down the river.,1,68
69,Bill pushed Harry along the trail for hours.,1,69
70,Bill pushed Harry along the trail.,0,70
